REGIAO_EXERC;DE_EXERC;CIE_ESCOLA;UA_EXERC;NOME_UA_EXERC;MUNICIPIO_EXERC;QUADRO_EXERC;DI;CARGO_EXERC;NOME_CARGO_EXERC;CATEG_E;TT_DIAS_FALTA_MEDICA;TT_DIAS_FALTA_JUST;TT_DIAS_FALTA_INJUST;TT_DIAS_LIC_PREMIO;TT_DIAS_LIC_GESTANTE;TT_DIAS_LIC_ACID_TRAB;TT_DIAS_LIC_INTER_PARTIC;TOT_DIAS_AUSENCIAS;TOTAL_DIAS_MES;id_interno
CAPITAL;D.E.REG. CENTRO;309;39778;"EE BENEDITO TOLOSA PROF.     ";"SAO PAULO                              ";QAE;1;4343;SECRETARIO DE ESCOLA;A;0;0;0;0;0;0;0;5;31;277044
CAPITAL;D.E.REG. CENTRO;334;39788;"EE MANOEL DA NOBREGA PADRE    ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;2;31;179390
CAPITAL;D.E.REG. CENTRO;437;45682;"EE ANGELINA MADUREIRA PROFA. ";"SAO PAULO                              ";QM-DOCENTE;1;6407;PROFESSOR EDUCACAO BASICA I;A;0;0;0;0;0;0;0;31;31;312574
CAPITAL;D.E.REG. CENTRO;590;39795;"EE PAULO SETUBAL              ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;31;0;0;31;31;236209
CAPITAL;D.E.REG. CENTRO;711;39828;"EE NARBAL FONTES PROF.       ";"SAO PAULO                              ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;O;0;0;0;0;0;0;0;31;31;210810
CAPITAL;D.E.REG. CENTRO;917;39806;"EE ANTONIO LISBOA PROF.      ";"SAO PAULO                              ";QM-DOCENTE;1;5774;PROFESSOR DE ENSINO FUNDAMENTAL E MEDIO;A;0;0;0;0;0;0;0;22;31;228416
CAPITAL;D.E.REG. CENTRO;1659;39879;"EE ANCHIETA PADRE             ";"SAO PAULO                              ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;1;0;0;0;0;0;0;1;31;474706
CAPITAL;D.E.REG. CENTRO;1659;39879;"EE ANCHIETA PADRE             ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;135421
CAPITAL;D.E.REG. CENTRO;3475;40093;"EE JOSE CANDIDO DE SOUZA      ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;31;31;31;136041
CAPITAL;D.E.REG. CENTRO;3566;40099;"EE BROWNE MISS                ";"SAO PAULO                              ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;1;0;0;0;0;1;31;165857
