REGIAO_EXERC;DE_EXERC;CIE_ESCOLA;UA_EXERC;NOME_UA_EXERC;MUNICIPIO_EXERC;QUADRO_EXERC;DI;CARGO_EXERC;NOME_CARGO_EXERC;CATEG_E;TT_DIAS_FALTA_MEDICA;TT_DIAS_FALTA_JUST;TT_DIAS_FALTA_INJUST;TT_DIAS_LIC_PREMIO;TT_DIAS_LIC_GESTANTE;TT_DIAS_LIC_PATERNIDADE;TT_DIAS_LIC_ACID_TRAB;TT_DIAS_LIC_INTER_PARTIC;TOT_DIAS_AUSENCIAS;TOTAL_DIAS_MES;id_interno
INTERIOR;D.E.REG. SAO VICENTE;911331;79308;"EE JARDIM SAO JOAO            ";"PERUIBE                                ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;296629
INTERIOR;D.E.REG. SAO VICENTE;923485;22955;"EE MARIO COVAS JUNIOR - GOV. ";"SAO VICENTE                            ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;15;31;153076
INTERIOR;D.E.REG. SERTAOZINHO;0;67475;D.E.REG. SERTAOZINHO;"SERTAOZINHO                            ";QSE;1;3915;DIRETOR I;C;1;0;0;0;0;0;0;0;1;31;259452
INTERIOR;"D.E.REG. SOROCABA ";16172;42078;"EE FRANCISCO CAMARGO CESAR    ";"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;1;0;0;0;0;0;0;1;31;494941
INTERIOR;"D.E.REG. SOROCABA ";16299;42084;EE AGGEO PEREIRA AMARAL-PROF.;"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;0;0;0;0;0;0;0;1;31;239467
INTERIOR;"D.E.REG. SOROCABA ";16317;42080;EE JULIO BIERRENBACH LIMA-PROF;"SOROCABA                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;31;0;0;0;31;31;143521
INTERIOR;"D.E.REG. SOROCABA ";16378;42092;EE OSSIS SALVESTRINI MENDES-PF;"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;0;0;0;0;0;0;0;19;31;496897
INTERIOR;"D.E.REG. SOROCABA ";16378;42092;EE OSSIS SALVESTRINI MENDES-PF;"SOROCABA                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;18;18;31;275899
INTERIOR;"D.E.REG. SOROCABA ";16433;42079;"EE ANTONIO PADILHA            ";"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;1;1;1;0;0;0;0;0;3;31;498935
INTERIOR;"D.E.REG. SOROCABA ";16433;42079;"EE ANTONIO PADILHA            ";"SOROCABA                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;323412
INTERIOR;"D.E.REG. SOROCABA ";36651;46393;EE DIOGENES ALMEIDA MARINS-PF.;"SOROCABA                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;30;31;201961
INTERIOR;"D.E.REG. SOROCABA ";38957;50909;EE JORDINA AMARAL ARRUDA-PROFA;"SOROCABA                               ";QAE;2;4341;AGENTE DE ORGANIZACAO ESCOLAR;O;0;0;0;0;0;0;0;0;2;31;483542
INTERIOR;"D.E.REG. SOROCABA ";46991;60928;"EE LAILA GALEP SACKER-PROFA. ";"SOROCABA                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;268007
INTERIOR;"D.E.REG. SOROCABA ";478912;96000;EE ELZIDE C.S.P.TUNUCHI PROF .;"SOROCABA                               ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;148061
INTERIOR;"D.E.REG. SOROCABA ";900400;64200;"EE ANTONIA LUCCHESI-PROFA.   ";"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;31;359015
INTERIOR;"D.E.REG. SOROCABA ";914630;81146;"EE JORGE MADUREIRA-PROF.     ";"SOROCABA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;1;4;0;0;0;0;0;0;5;31;216836
INTERIOR;"D.E.REG. SOROCABA ";920236;13237;"EE ANTONIO VIEIRA CAMPOS      ";"SOROCABA                               ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;157420
INTERIOR;D.E.REG. SUMARE;36468;53010;"EE HONORINO FABBRI-DR.       ";"HORTOLANDIA                            ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;31;31;219677
INTERIOR;D.E.REG. SUMARE;45548;59126;EE ELYSABETH M.RODRIGUES-PROFA;"SUMARE                                 ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;0;16;31;199861
INTERIOR;D.E.REG. SUMARE;45561;58750;EE MARIANINA ROSIS MORAES-PROF;"SUMARE                                 ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;231200
INTERIOR;D.E.REG. SUMARE;45573;58746;EE JENY B.R.SANTARROSSA-PROFA.;"SUMARE                                 ";QM-DOCENTE;2;6407;PROFESSOR EDUCACAO BASICA I;F;0;0;0;0;0;0;0;0;31;31;158972
INTERIOR;D.E.REG. SUMARE;49414;62470;EE ALICE ANTENOR SOUZA-PROFA.;"SUMARE                                 ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;184326
INTERIOR;D.E.REG. SUMARE;462822;95204;"EE PARQUE DOS SERVIDORES      ";"PAULINIA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;0;14;31;236666
INTERIOR;D.E.REG. SUMARE;910351;77572;EE BELGICA ALLEONI BORGES-PROF;"SUMARE                                 ";QM-DOCENTE;1;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;6;0;0;0;0;6;31;234930
INTERIOR;D.E.REG. SUMARE;917552;1187;EE HEDY MADALENA BOCCHI-PROFA.;"HORTOLANDIA                            ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;209621
INTERIOR;D.E.REG. SUMARE;924672;25200;"EE MARINALVA G.COLOSSAL CUNHA ";"SUMARE                                 ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;16;16;31;223879
INTERIOR;D.E.REG. TAQUARITINGA;25070;43524;"EE ANGELO MARTINO-PROF.      ";"IBITINGA                               ";QAE;1;4341;AGENTE DE ORGANIZACAO ESCOLAR;A;0;0;0;0;0;0;0;31;31;31;295714
INTERIOR;D.E.REG. TAQUARITINGA;919470;10726;EE SEBASTIAO F.F.ARRUDA-PROF.;"ITAPOLIS                               ";QM-DOCENTE;2;6409;PROFESSOR EDUCACAO BASICA II;A;0;0;0;0;0;0;0;31;31;31;240298
