MUNICÍPIOS,ANO,TOTAL FALTAS JUST,TOTAL FALTAS INJUST,TOTAL DIAS AUSENTES
AMERICANA,2022,1363,488,1851
AMERICANA,2023,772,223,995
AMERICANA,2024,490,84,574
CAMPINAS,2022,8637,4168,12805
CAMPINAS,2023,6328,3824,10152
CAMPINAS,2024,3999,2974,6973
HORTOLANDIA,2022,1175,495,1670
HORTOLANDIA,2023,1067,847,1914
HORTOLANDIA,2024,683,404,1087
INDAIATUBA,2022,1394,1870,3264
INDAIATUBA,2023,933,1046,1979
INDAIATUBA,2024,511,680,1191
PAULINIA,2022,356,83,439
PAULINIA,2023,264,65,329
PAULINIA,2024,137,53,190
SANTA BARBARA D'OESTE,2022,855,501,1356
SANTA BARBARA D'OESTE,2023,553,201,754
SANTA BARBARA D'OESTE,2024,405,292,697
SUMARE,2022,2081,881,2962
SUMARE,2023,1450,1029,2479
SUMARE,2024,903,473,1376
VALINHOS,2022,327,331,658
VALINHOS,2023,328,102,430
VALINHOS,2024,110,45,155
