NO_MUNICIPIO;TP_DEPENDENCIA;QT_DOC_BAS;QT_MAT_BAS;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_BAS_0_3;QT_MAT_BAS_4_5;QT_MAT_BAS_6_10;QT_MAT_BAS_11_14;QT_MAT_BAS_15_17;QT_MAT_BAS_18_MAIS;IN_BIBLIOTECA;IN_LABORATORIO_INFORMATICA;IN_INTERNET;IN_QUADRA_ESPORTES;IN_REFEITORIO;ANO
AMERICANA;2;20.0;251.0;251.0;0.0;0.0;1.0;243.0;7.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2022
AMERICANA;2;29.0;454.0;181.0;273.0;0.0;2.0;176.0;264.0;12.0;0.0;0.0;0.0;1.0;1.0;0.0;2022
AMERICANA;2;25.0;337.0;0.0;267.0;0.0;0.0;6.0;252.0;78.0;1.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;33.0;491.0;0.0;349.0;0.0;0.0;10.0;323.0;154.0;4.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;15.0;196.0;196.0;0.0;0.0;0.0;194.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;22.0;268.0;268.0;0.0;0.0;2.0;264.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;19.0;230.0;0.0;157.0;0.0;0.0;5.0;145.0;77.0;3.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;27.0;340.0;340.0;0.0;0.0;4.0;329.0;6.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;24.0;387.0;387.0;0.0;0.0;4.0;374.0;9.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;16.0;264.0;264.0;0.0;0.0;3.0;257.0;4.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;62.0;1044.0;168.0;423.0;0.0;0.0;167.0;401.0;458.0;18.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;85.0;1371.0;0.0;262.0;0.0;0.0;5.0;255.0;1035.0;76.0;1.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;22.0;373.0;373.0;0.0;0.0;8.0;360.0;5.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2022
AMERICANA;2;75.0;949.0;0.0;179.0;0.0;0.0;1.0;173.0;577.0;198.0;0.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;25.0;448.0;0.0;314.0;0.0;0.0;1.0;301.0;143.0;3.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;20.0;370.0;0.0;0.0;0.0;0.0;0.0;9.0;349.0;12.0;0.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;13.0;190.0;190.0;0.0;0.0;2.0;182.0;6.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;65.0;781.0;179.0;259.0;0.0;2.0;183.0;245.0;339.0;12.0;0.0;0.0;1.0;1.0;0.0;2022
AMERICANA;2;28.0;366.0;139.0;121.0;0.0;3.0;135.0;121.0;101.0;6.0;0.0;1.0;1.0;0.0;0.0;2022
AMERICANA;2;14.0;220.0;220.0;0.0;0.0;3.0;216.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;59.0;1158.0;0.0;452.0;0.0;0.0;6.0;413.0;676.0;63.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;22.0;267.0;0.0;185.0;0.0;0.0;3.0;179.0;83.0;2.0;0.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;13.0;130.0;130.0;0.0;0.0;2.0;125.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;;;;;;;;;;;;;;;;2022
AMERICANA;2;22.0;370.0;0.0;283.0;0.0;0.0;2.0;280.0;85.0;3.0;0.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;117.0;2279.0;0.0;0.0;0.0;0.0;0.0;38.0;1632.0;609.0;1.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;22.0;289.0;289.0;0.0;0.0;3.0;284.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2022
AMERICANA;2;32.0;538.0;538.0;0.0;0.0;0.0;522.0;16.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;;;;;;;;;;;0.0;0.0;1.0;0.0;0.0;2022
AMERICANA;2;20.0;328.0;328.0;0.0;0.0;0.0;322.0;6.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;51.0;727.0;0.0;296.0;0.0;0.0;4.0;284.0;423.0;16.0;0.0;1.0;1.0;1.0;0.0;2022
AMERICANA;2;4.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;0.0;0.0;0.0;0.0;2022
AMERICANA;2;;;;;;;;;;;;;;;;2022
AMERICANA;2;24.0;322.0;0.0;253.0;0.0;0.0;4.0;246.0;69.0;3.0;0.0;1.0;1.0;1.0;1.0;2022
AMERICANA;2;30.0;577.0;0.0;438.0;0.0;0.0;3.0;427.0;146.0;1.0;0.0;0.0;1.0;1.0;1.0;2022
