MUNICÍPIOS,ANO,BIBLIOTECA,BIBLIOTECA OU SALA DE LEITURA,LAB. INFORMÁTICA,LAB. CIÊNCIAS,QUADRA COBERTA,QUADRA DESCOBERTA,REFEITÓRIO,ÁGUA POTÁVEL,ESGOTO,ENERGIA ELÉTRICA,Quantidade de computadores em uso pelos alunos,INTERNET,INTERNET - ALUNOS,INTERNET - BANDA LARGA,QTDE LOUSAS DIGITAIS,QTDE DATASHOW,QTDE DOCENTES FUNDAMENTAL - TOTAL,QTDE DOCENTES FUNDAMENTAL - ANOS INICIAIS,QTDE DOCENTES FUNDAMENTAL - ANOS FINAIS,QTDE FUNCIONARIOS ESCOLA,QTDE PROFISSIONAIS ESCOLA - APOIO E SUPERVISÃO PEDAGÓGICA,QTDE MATRICULAS FUNDAMENTAL - TOTAL,QTDE MATRICULAS FUNDAMENTAL - ANOS INICIAIS,QTDE MATRICULAS FUNDAMENTAL - ANOS FINAIS,QTDE TURMAS FUNDAMENTAL - TOTAL,QTDE TURMAS FUNDAMENTAL - ANOS INICIAIS,QTDE TURMAS FUNDAMENTAL - ANOS FINAIS,QTDE SALAS DE AULA ESCOLA,QTDE MATRICULAS FUNDAMENTAL - Cor/Raça Branca,QTDE MATRICULAS FUNDAMENTAL - Cor/Raça Preta,QTDE MATRICULAS FUNDAMENTAL - Cor/Raça Parda,QTDE MATRICULAS FUNDAMENTAL - Cor/Raça Indígena,QTDE MATRICULAS FUNDAMENTAL - Turno Diurno,QTDE MATRICULAS FUNDAMENTAL - Turno Noturno,Dependência Administrativa,LOCALIZAÇÃO,ETAPAS ENSINO - FUNDAMENTAL - TOTAL  (Possui uma ou mais matrículas),ETAPAS ENSINO - FUNDAMENTAL - ANOS INICIAIS (Possui uma ou mais matrículas),ETAPAS ENSINO - FUNDAMENTAL - ANOS FINAIS (Possui uma ou mais matrículas)
AMERICANA,2022,0.17,0.41,0.37,0.16,0.39,0.1,0.69,0.99,1.0,1.0,0.0,0.99,0.48,0.97,272.0,223.0,1660.0,824.0,883.0,0.0,185.0,25865.0,14115.0,11750.0,942.0,544.0,398.0,0.0,34394.0,653.0,6931.0,45.0,43801.0,3581.0,4,1,0.42,0.28,0.28
AMERICANA,2023,0.18,0.4,0.33,0.15,0.38,0.1,0.69,0.99,0.99,1.0,0.0,0.99,0.51,0.99,279.0,296.0,1603.0,844.0,818.0,0.0,210.0,25717.0,13902.0,11815.0,951.0,541.0,410.0,0.0,33934.0,683.0,7018.0,49.0,43895.0,3817.0,4,1,0.41,0.28,0.27
AMERICANA,2024,0.11,0.41,0.31,0.14,0.37,0.11,0.71,0.99,0.99,1.0,0.0,0.99,0.46,0.99,275.0,89175.0,1587.0,846.0,799.0,0.0,225.0,25801.0,13739.0,12062.0,957.0,532.0,425.0,0.0,33757.0,801.0,7466.0,40.0,44206.0,3218.0,4,1,0.41,0.29,0.26
CAMPINAS,2022,0.42,0.62,0.42,0.14,0.35,0.24,0.78,1.0,0.98,1.0,0.0,0.99,0.49,0.97,178513.0,534170.0,8294.0,4295.0,4549.0,0.0,624.0,127854.0,71732.0,56122.0,4863.0,2894.0,1969.0,0.0,139566.0,6200.0,47961.0,212.0,213522.0,23193.0,4,1,0.48,0.38,0.34
CAMPINAS,2023,0.39,0.6,0.42,0.12,0.35,0.23,0.76,1.0,0.99,1.0,0.0,0.99,0.53,0.97,356312.0,445242.0,7721.0,4090.0,4213.0,0.0,558.0,127350.0,71280.0,56070.0,4907.0,2904.0,2003.0,0.0,141056.0,7002.0,49701.0,220.0,213381.0,22205.0,4,1,0.48,0.38,0.34
CAMPINAS,2024,0.41,0.6,0.4,0.13,0.37,0.22,0.76,1.0,0.98,1.0,0.0,0.99,0.56,0.98,356329.0,445303.0,7724.0,4057.0,4173.0,0.0,662.0,127507.0,71596.0,55911.0,4863.0,2851.0,2012.0,0.0,141751.0,7956.0,51632.0,251.0,215361.0,21276.0,4,1,0.48,0.38,0.35
INDAIATUBA,2022,0.19,0.59,0.44,0.09,0.39,0.14,0.64,1.0,0.99,1.0,0.0,0.99,0.51,0.97,89350.0,206.0,1977.0,1072.0,955.0,0.0,236.0,32173.0,18500.0,13673.0,1155.0,700.0,455.0,0.0,37652.0,739.0,12199.0,53.0,54078.0,3489.0,3,1,0.51,0.37,0.24
INDAIATUBA,2023,0.17,0.57,0.41,0.11,0.39,0.13,0.64,1.0,0.99,1.0,0.0,0.99,0.51,0.97,512.0,252.0,1893.0,1101.0,857.0,0.0,247.0,32467.0,18393.0,14074.0,1161.0,699.0,462.0,0.0,38168.0,852.0,12534.0,50.0,54646.0,4013.0,3,1,0.51,0.37,0.25
INDAIATUBA,2024,0.19,0.59,0.4,0.13,0.4,0.15,0.66,1.0,0.98,1.0,0.0,1.0,0.58,0.97,584.0,257.0,1939.0,1137.0,874.0,0.0,178040.0,32940.0,18913.0,14027.0,1193.0,727.0,466.0,0.0,41471.0,1109.0,14330.0,64.0,57916.0,4398.0,3,1,0.51,0.37,0.26
VALINHOS,2022,0.13,0.48,0.38,0.1,0.36,0.22,0.66,1.0,0.93,1.0,0.0,0.98,0.49,0.94,59.0,89074.0,1037.0,562.0,513.0,0.0,88972.0,15043.0,8318.0,6725.0,678.0,415.0,263.0,0.0,17287.0,320.0,3471.0,10.0,23630.0,1381.0,4,1,0.72,0.65,0.34
