MUNICÍPIOS,ANO,APROVAÇÃO ANOS INICIAIS 9 ANOS,REPROVAÇÃO ANOS INICIAIS 9 ANOS,APROVAÇÃO ANOS FINAIS 9 ANOS,REPROVAÇÃO ANOS FINAIS 9 ANOS
AMERICANA,2022,99.55,0.36,97.13,2.23
AMERICANA,2023,99.75,0.25,97.38,2.62
AMERICANA,2024,99.84,0.16,98.26,1.74
CAMPINAS,2022,99.4,0.42,96.9,2.4
CAMPINAS,2023,99.39,0.51,97.06,2.63
CAMPINAS,2024,99.48,0.52,97.38,2.62
HORTOLANDIA,2022,100.0,0.0,98.16,1.19
HORTOLANDIA,2023,100.0,0.0,98.42,1.51
HORTOLANDIA,2024,100.0,0.0,98.61,1.39
INDAIATUBA,2022,0.0,0.0,98.02,1.16
INDAIATUBA,2023,0.0,0.0,98.69,1.13
INDAIATUBA,2024,0.0,0.0,99.1,0.9
PAULINIA,2022,0.0,0.0,95.83,3.93
PAULINIA,2023,0.0,0.0,96.56,3.44
PAULINIA,2024,0.0,0.0,97.7,2.3
SANTA BARBARA D'OESTE,2022,100.0,0.0,98.27,1.01
SANTA BARBARA D'OESTE,2023,99.94,0.06,98.47,1.49
SANTA BARBARA D'OESTE,2024,100.0,0.0,99.13,0.87
SUMARE,2022,99.45,0.5,97.68,2.16
SUMARE,2023,99.58,0.37,97.47,2.2
SUMARE,2024,99.53,0.47,98.51,1.49
VALINHOS,2022,0.0,0.0,97.22,2.33
VALINHOS,2023,0.0,0.0,97.95,1.89
VALINHOS,2024,0.0,0.0,98.02,1.98
