MUNICÍPIOS,ANO,SERIE_ANO,COMPETÊNCIA,MÉDIA_PROFICIÊNCIA
AMERICANA,2022,2º Ano EF,LÍNGUA PORTUGUESA,167.17
AMERICANA,2022,2º Ano EF,MATEMÁTICA,166.1
AMERICANA,2022,5º Ano EF,CIÊNCIAS,225.87
AMERICANA,2022,5º Ano EF,LÍNGUA PORTUGUESA,208.2
AMERICANA,2022,5º Ano EF,MATEMÁTICA,224.8
AMERICANA,2022,9º Ano EF,CIÊNCIAS,272.13
AMERICANA,2022,9º Ano EF,LÍNGUA PORTUGUESA,249.83
AMERICANA,2022,9º Ano EF,MATEMÁTICA,255.77
AMERICANA,2022,EM-3ª série,CIÊNCIAS,280.23
AMERICANA,2022,EM-3ª série,LÍNGUA PORTUGUESA,276.38
AMERICANA,2022,EM-3ª série,MATEMÁTICA,275.4
AMERICANA,2023,2º Ano EF,LÍNGUA PORTUGUESA,176.32
AMERICANA,2023,2º Ano EF,MATEMÁTICA,168.42
AMERICANA,2023,5º Ano EF,LÍNGUA PORTUGUESA,211.47
AMERICANA,2023,5º Ano EF,MATEMÁTICA,229.73
AMERICANA,2023,9º Ano EF,LÍNGUA PORTUGUESA,243.43
AMERICANA,2023,9º Ano EF,MATEMÁTICA,255.7
AMERICANA,2024,2º Ano EF,LÍNGUA PORTUGUESA,191.77
AMERICANA,2024,2º Ano EF,MATEMÁTICA,183.82
AMERICANA,2024,5º Ano EF,LÍNGUA PORTUGUESA,213.48
AMERICANA,2024,5º Ano EF,MATEMÁTICA,229.97
AMERICANA,2024,9º Ano EF,LÍNGUA PORTUGUESA,243.23
AMERICANA,2024,9º Ano EF,MATEMÁTICA,252.63
CAMPINAS,2022,2º Ano EF,LÍNGUA PORTUGUESA,178.67
CAMPINAS,2022,2º Ano EF,MATEMÁTICA,186.57
CAMPINAS,2022,5º Ano EF,CIÊNCIAS,220.83
CAMPINAS,2022,5º Ano EF,LÍNGUA PORTUGUESA,195.97
CAMPINAS,2022,5º Ano EF,MATEMÁTICA,210.67
CAMPINAS,2022,9º Ano EF,CIÊNCIAS,257.1
CAMPINAS,2022,9º Ano EF,LÍNGUA PORTUGUESA,237.18
CAMPINAS,2022,9º Ano EF,MATEMÁTICA,242.05
CAMPINAS,2022,EM-3ª série,CIÊNCIAS,273.55
CAMPINAS,2022,EM-3ª série,LÍNGUA PORTUGUESA,267.35
CAMPINAS,2022,EM-3ª série,MATEMÁTICA,266.27
CAMPINAS,2023,2º Ano EF,LÍNGUA PORTUGUESA,171.73
CAMPINAS,2023,2º Ano EF,MATEMÁTICA,163.45
CAMPINAS,2023,5º Ano EF,LÍNGUA PORTUGUESA,194.07
CAMPINAS,2023,5º Ano EF,MATEMÁTICA,205.82
CAMPINAS,2023,9º Ano EF,LÍNGUA PORTUGUESA,227.28
CAMPINAS,2023,9º Ano EF,MATEMÁTICA,240.82
CAMPINAS,2024,2º Ano EF,LÍNGUA PORTUGUESA,187.7
CAMPINAS,2024,2º Ano EF,MATEMÁTICA,183.73
CAMPINAS,2024,5º Ano EF,LÍNGUA PORTUGUESA,200.68
CAMPINAS,2024,5º Ano EF,MATEMÁTICA,214.2
CAMPINAS,2024,9º Ano EF,LÍNGUA PORTUGUESA,224.9
CAMPINAS,2024,9º Ano EF,MATEMÁTICA,241.78
HORTOLANDIA,2022,5º Ano EF,CIÊNCIAS,224.3
HORTOLANDIA,2022,5º Ano EF,LÍNGUA PORTUGUESA,200.1
HORTOLANDIA,2022,5º Ano EF,MATEMÁTICA,217.7
HORTOLANDIA,2022,9º Ano EF,CIÊNCIAS,265.9
HORTOLANDIA,2022,9º Ano EF,LÍNGUA PORTUGUESA,246.4
HORTOLANDIA,2022,9º Ano EF,MATEMÁTICA,250.6
HORTOLANDIA,2022,EM-3ª série,CIÊNCIAS,265.77
HORTOLANDIA,2022,EM-3ª série,LÍNGUA PORTUGUESA,262.88
HORTOLANDIA,2022,EM-3ª série,MATEMÁTICA,259.52
HORTOLANDIA,2023,2º Ano EF,LÍNGUA PORTUGUESA,178.83
HORTOLANDIA,2023,2º Ano EF,MATEMÁTICA,170.6
HORTOLANDIA,2023,5º Ano EF,LÍNGUA PORTUGUESA,201.04
HORTOLANDIA,2023,5º Ano EF,MATEMÁTICA,213.7
HORTOLANDIA,2023,9º Ano EF,LÍNGUA PORTUGUESA,141.86
HORTOLANDIA,2023,9º Ano EF,MATEMÁTICA,148.5
HORTOLANDIA,2024,2º Ano EF,LÍNGUA PORTUGUESA,183.93
HORTOLANDIA,2024,2º Ano EF,MATEMÁTICA,177.7
HORTOLANDIA,2024,5º Ano EF,LÍNGUA PORTUGUESA,205.22
HORTOLANDIA,2024,5º Ano EF,MATEMÁTICA,218.2
HORTOLANDIA,2024,9º Ano EF,LÍNGUA PORTUGUESA,231.87
HORTOLANDIA,2024,9º Ano EF,MATEMÁTICA,246.4
INDAIATUBA,2022,9º Ano EF,CIÊNCIAS,279.57
INDAIATUBA,2022,9º Ano EF,LÍNGUA PORTUGUESA,258.73
INDAIATUBA,2022,9º Ano EF,MATEMÁTICA,259.6
INDAIATUBA,2022,EM-3ª série,CIÊNCIAS,282.9
INDAIATUBA,2022,EM-3ª série,LÍNGUA PORTUGUESA,274.9
INDAIATUBA,2022,EM-3ª série,MATEMÁTICA,277.05
INDAIATUBA,2023,2º Ano EF,LÍNGUA PORTUGUESA,176.37
INDAIATUBA,2023,2º Ano EF,MATEMÁTICA,172.83
INDAIATUBA,2023,5º Ano EF,LÍNGUA PORTUGUESA,222.87
INDAIATUBA,2023,5º Ano EF,MATEMÁTICA,241.13
INDAIATUBA,2023,9º Ano EF,LÍNGUA PORTUGUESA,242.57
INDAIATUBA,2023,9º Ano EF,MATEMÁTICA,255.4
INDAIATUBA,2024,2º Ano EF,LÍNGUA PORTUGUESA,192.0
INDAIATUBA,2024,2º Ano EF,MATEMÁTICA,184.63
INDAIATUBA,2024,5º Ano EF,LÍNGUA PORTUGUESA,227.37
INDAIATUBA,2024,5º Ano EF,MATEMÁTICA,244.97
INDAIATUBA,2024,9º Ano EF,LÍNGUA PORTUGUESA,246.03
INDAIATUBA,2024,9º Ano EF,MATEMÁTICA,257.37
PAULINIA,2022,9º Ano EF,CIÊNCIAS,264.93
PAULINIA,2022,9º Ano EF,LÍNGUA PORTUGUESA,242.83
PAULINIA,2022,9º Ano EF,MATEMÁTICA,244.77
PAULINIA,2022,EM-3ª série,CIÊNCIAS,271.23
PAULINIA,2022,EM-3ª série,LÍNGUA PORTUGUESA,260.55
PAULINIA,2022,EM-3ª série,MATEMÁTICA,267.05
PAULINIA,2023,2º Ano EF,LÍNGUA PORTUGUESA,166.93
PAULINIA,2023,2º Ano EF,MATEMÁTICA,162.6
PAULINIA,2023,5º Ano EF,LÍNGUA PORTUGUESA,202.4
PAULINIA,2023,5º Ano EF,MATEMÁTICA,217.33
PAULINIA,2023,9º Ano EF,LÍNGUA PORTUGUESA,231.2
PAULINIA,2023,9º Ano EF,MATEMÁTICA,244.73
PAULINIA,2024,2º Ano EF,LÍNGUA PORTUGUESA,190.13
PAULINIA,2024,2º Ano EF,MATEMÁTICA,180.37
PAULINIA,2024,5º Ano EF,LÍNGUA PORTUGUESA,212.23
PAULINIA,2024,5º Ano EF,MATEMÁTICA,221.77
PAULINIA,2024,9º Ano EF,LÍNGUA PORTUGUESA,238.17
PAULINIA,2024,9º Ano EF,MATEMÁTICA,250.85
SANTA BARBARA D'OESTE,2022,2º Ano EF,LÍNGUA PORTUGUESA,159.52
SANTA BARBARA D'OESTE,2022,2º Ano EF,MATEMÁTICA,160.83
SANTA BARBARA D'OESTE,2022,5º Ano EF,CIÊNCIAS,231.97
SANTA BARBARA D'OESTE,2022,5º Ano EF,LÍNGUA PORTUGUESA,208.7
SANTA BARBARA D'OESTE,2022,5º Ano EF,MATEMÁTICA,231.02
SANTA BARBARA D'OESTE,2022,9º Ano EF,CIÊNCIAS,276.03
SANTA BARBARA D'OESTE,2022,9º Ano EF,LÍNGUA PORTUGUESA,254.37
SANTA BARBARA D'OESTE,2022,9º Ano EF,MATEMÁTICA,262.53
SANTA BARBARA D'OESTE,2022,EM-3ª série,CIÊNCIAS,275.5
SANTA BARBARA D'OESTE,2022,EM-3ª série,LÍNGUA PORTUGUESA,270.82
SANTA BARBARA D'OESTE,2022,EM-3ª série,MATEMÁTICA,273.55
SANTA BARBARA D'OESTE,2023,2º Ano EF,LÍNGUA PORTUGUESA,178.77
