DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;CODMUN;MUN;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;194
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;196,6
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;190,9
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;2;TARDE;2;MATEMÁTICA;188,7
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;192,1
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;9;GERAL;2;MATEMÁTICA;191,7
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;205,6
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;220,7
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;201,5
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;2;TARDE;2;MATEMÁTICA;215,9
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;204,1
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;2;MATEMÁTICA;218,9
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;233,8
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;245,2
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;228,4
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;2;TARDE;2;MATEMÁTICA;240,8
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;232,1
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;2;MATEMÁTICA;243,8
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;236,9
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;258,2
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;236,9
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;258,2
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;200,8
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;210,5
