DEPADM;DepBol;NomeDepBol;codRMet;CODMUN;MUN;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;168,9
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;170,1
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;165,2
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;2;TARDE;2;MATEMÁTICA;173,6
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;166,5
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;9;GERAL;2;MATEMÁTICA;172,3
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;195,7
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;209,2
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;1;MANHÃ;3;CIÊNCIAS;219
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;192,7
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;2;TARDE;2;MATEMÁTICA;205,6
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;2;TARDE;3;CIÊNCIAS;215,5
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;194,5
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;2;MATEMÁTICA;207,8
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;3;CIÊNCIAS;217,6
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;241,8
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;245,4
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;260,6
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;239,2
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;2;TARDE;2;MATEMÁTICA;243,4
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;2;TARDE;3;CIÊNCIAS;258,4
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;240,9
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;2;MATEMÁTICA;244,7
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;3;CIÊNCIAS;259,8
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;266,4
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;263,3
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;271,3
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;2;TARDE;1;LÍNGUA PORTUGUESA;268,3
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;2;TARDE;2;MATEMÁTICA;265,1
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;2;TARDE;3;CIÊNCIAS;272,5
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;249,9
