NO_MUNICIPIO;TP_DEPENDENCIA;QT_DOC_BAS;QT_MAT_BAS;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_BAS_0_3;QT_MAT_BAS_4_5;QT_MAT_BAS_6_10;QT_MAT_BAS_11_14;QT_MAT_BAS_15_17;QT_MAT_BAS_18_MAIS;IN_BIBLIOTECA;IN_LABORATORIO_INFORMATICA;IN_INTERNET;IN_QUADRA_ESPORTES;IN_REFEITORIO;ANO
Adamantina;2;66.0;984.0;0.0;373.0;0.0;0.0;8.0;349.0;455.0;172.0;0.0;1.0;1.0;1.0;1.0;2022
Adamantina;2;19.0;340.0;0.0;340.0;0.0;0.0;8.0;309.0;23.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
Adamantina;2;55.0;1008.0;0.0;0.0;0.0;0.0;0.0;4.0;799.0;205.0;1.0;1.0;1.0;1.0;1.0;2022
Adamantina;2;22.0;229.0;0.0;0.0;0.0;0.0;0.0;6.0;128.0;95.0;0.0;1.0;1.0;0.0;1.0;2022
Adamantina;2;30.0;483.0;0.0;331.0;0.0;0.0;2.0;303.0;169.0;9.0;0.0;1.0;1.0;1.0;1.0;2022
Adamantina;2;;;;;;;;;;;;;;;;2022
Adolfo;2;17.0;224.0;0.0;0.0;0.0;0.0;0.0;4.0;200.0;20.0;0.0;1.0;1.0;1.0;1.0;2022
Aguaí;2;35.0;513.0;0.0;418.0;0.0;0.0;2.0;359.0;138.0;14.0;0.0;0.0;1.0;1.0;1.0;2022
Aguaí;2;64.0;980.0;0.0;479.0;0.0;0.0;1.0;408.0;519.0;52.0;0.0;1.0;1.0;1.0;1.0;2022
Aguaí;2;33.0;784.0;0.0;234.0;0.0;0.0;1.0;209.0;348.0;226.0;0.0;1.0;1.0;1.0;0.0;2022
Aguaí;2;34.0;551.0;0.0;0.0;0.0;0.0;0.0;2.0;442.0;107.0;1.0;1.0;1.0;0.0;0.0;2022
Aguaí;2;;;;;;;;;;;0.0;0.0;1.0;0.0;0.0;2022
Aguaí;2;14.0;227.0;227.0;0.0;0.0;0.0;215.0;12.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2022
Águas da Prata;2;31.0;358.0;0.0;206.0;0.0;0.0;0.0;182.0;159.0;17.0;0.0;1.0;1.0;1.0;0.0;2022
Águas da Prata;2;9.0;66.0;0.0;66.0;0.0;0.0;0.0;60.0;6.0;0.0;0.0;0.0;1.0;1.0;1.0;2022
Águas de Lindóia;2;22.0;341.0;0.0;137.0;0.0;0.0;1.0;127.0;200.0;13.0;0.0;1.0;1.0;1.0;1.0;2022
Águas de Lindóia;2;48.0;689.0;110.0;132.0;0.0;0.0;99.0;124.0;366.0;100.0;0.0;1.0;1.0;1.0;1.0;2022
Águas de Lindóia;2;;;;;;;;;;;;;;;;2022
Águas de Santa Bárbara;2;42.0;554.0;0.0;344.0;0.0;0.0;5.0;331.0;208.0;10.0;0.0;1.0;1.0;1.0;1.0;2022
Águas de São Pedro;2;10.0;108.0;0.0;0.0;0.0;0.0;0.0;4.0;96.0;8.0;0.0;1.0;1.0;1.0;1.0;2022
Agudos;2;22.0;270.0;0.0;222.0;0.0;0.0;3.0;208.0;55.0;4.0;0.0;1.0;1.0;1.0;1.0;2022
Agudos;2;44.0;635.0;0.0;285.0;0.0;0.0;3.0;247.0;360.0;25.0;0.0;1.0;1.0;1.0;1.0;2022
Agudos;2;11.0;131.0;0.0;78.0;0.0;0.0;2.0;76.0;52.0;1.0;0.0;1.0;1.0;1.0;1.0;2022
Agudos;2;25.0;366.0;0.0;284.0;0.0;0.0;5.0;270.0;88.0;3.0;0.0;1.0;1.0;1.0;1.0;2022
Agudos;2;50.0;761.0;0.0;334.0;0.0;0.0;6.0;303.0;423.0;29.0;0.0;1.0;1.0;1.0;0.0;2022
Agudos;2;50.0;847.0;0.0;454.0;0.0;0.0;8.0;391.0;426.0;22.0;0.0;1.0;1.0;1.0;0.0;2022
Alambari;2;39.0;527.0;0.0;328.0;0.0;0.0;8.0;312.0;183.0;24.0;0.0;0.0;1.0;1.0;1.0;2022
Alfredo Marcondes;2;50.0;520.0;231.0;180.0;0.0;0.0;224.0;185.0;104.0;7.0;0.0;1.0;1.0;1.0;0.0;2022
Altair;2;19.0;307.0;0.0;197.0;0.0;0.0;5.0;184.0;112.0;6.0;0.0;0.0;1.0;1.0;0.0;2022
Altinópolis;2;45.0;768.0;0.0;334.0;0.0;0.0;10.0;315.0;420.0;23.0;0.0;1.0;1.0;1.0;1.0;2022
Alto Alegre;2;33.0;248.0;0.0;167.0;0.0;0.0;0.0;158.0;75.0;15.0;0.0;1.0;1.0;1.0;0.0;2022
Alumínio;2;42.0;620.0;0.0;0.0;0.0;0.0;0.0;4.0;491.0;125.0;0.0;1.0;1.0;1.0;1.0;2022
Álvares Florence;2;14.0;183.0;0.0;94.0;0.0;0.0;0.0;91.0;89.0;3.0;0.0;1.0;1.0;1.0;0.0;2022
Álvares Machado;2;39.0;683.0;0.0;0.0;0.0;0.0;0.0;3.0;576.0;104.0;1.0;1.0;1.0;1.0;0.0;2022
Álvares Machado;2;20.0;297.0;0.0;0.0;0.0;0.0;0.0;0.0;262.0;35.0;0.0;1.0;1.0;1.0;0.0;2022
Álvaro de Carvalho;2;7.0;89.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.0;0.0;0.0;1.0;0.0;0.0;2022
Álvaro de Carvalho;2;25.0;323.0;0.0;196.0;0.0;0.0;2.0;189.0;123.0;9.0;0.0;1.0;1.0;1.0;0.0;2022
Álvaro de Carvalho;2;15.0;241.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;241.0;0.0;0.0;1.0;0.0;0.0;2022
Alvinlândia;2;25.0;380.0;0.0;181.0;0.0;0.0;5.0;174.0;177.0;24.0;0.0;1.0;1.0;1.0;1.0;2022
Americana;2;20.0;251.0;251.0;0.0;0.0;1.0;243.0;7.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2022
Americana;2;29.0;454.0;181.0;273.0;0.0;2.0;176.0;264.0;12.0;0.0;0.0;0.0;1.0;1.0;0.0;2022
Americana;2;25.0;337.0;0.0;267.0;0.0;0.0;6.0;252.0;78.0;1.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;33.0;491.0;0.0;349.0;0.0;0.0;10.0;323.0;154.0;4.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;15.0;196.0;196.0;0.0;0.0;0.0;194.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;22.0;268.0;268.0;0.0;0.0;2.0;264.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;19.0;230.0;0.0;157.0;0.0;0.0;5.0;145.0;77.0;3.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;27.0;340.0;340.0;0.0;0.0;4.0;329.0;6.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;24.0;387.0;387.0;0.0;0.0;4.0;374.0;9.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;16.0;264.0;264.0;0.0;0.0;3.0;257.0;4.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;62.0;1044.0;168.0;423.0;0.0;0.0;167.0;401.0;458.0;18.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;85.0;1371.0;0.0;262.0;0.0;0.0;5.0;255.0;1035.0;76.0;1.0;1.0;1.0;1.0;0.0;2022
Americana;2;22.0;373.0;373.0;0.0;0.0;8.0;360.0;5.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2022
Americana;2;75.0;949.0;0.0;179.0;0.0;0.0;1.0;173.0;577.0;198.0;0.0;1.0;1.0;1.0;1.0;2022
Americana;2;25.0;448.0;0.0;314.0;0.0;0.0;1.0;301.0;143.0;3.0;0.0;1.0;1.0;1.0;0.0;2022
Americana;2;20.0;370.0;0.0;0.0;0.0;0.0;0.0;9.0;349.0;12.0;0.0;1.0;1.0;1.0;1.0;2022
