NO_MUNICIPIO,TP_DEPENDENCIA,QT_DOC_BAS,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_BAS_0_3,QT_MAT_BAS_4_5,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_INTERNET,IN_QUADRA_ESPORTES,IN_REFEITORIO,ANO
São Paulo,2,26.0,544.0,0.0,544.0,0.0,0.0,0.0,523.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,114.0,2489.0,408.0,451.0,0.0,0.0,390.0,445.0,941.0,713.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,94.0,2198.0,0.0,797.0,0.0,0.0,0.0,747.0,1273.0,178.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,63.0,1541.0,0.0,0.0,0.0,0.0,0.0,4.0,1432.0,105.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,47.0,1147.0,0.0,0.0,0.0,0.0,0.0,4.0,985.0,158.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,40.0,865.0,865.0,0.0,0.0,0.0,842.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,19.0,328.0,328.0,0.0,0.0,0.0,318.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,29.0,603.0,603.0,0.0,0.0,0.0,577.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,27.0,296.0,0.0,0.0,0.0,0.0,0.0,1.0,275.0,20.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,42.0,1047.0,1047.0,0.0,0.0,0.0,1018.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2023
São Paulo,2,35.0,819.0,819.0,0.0,0.0,0.0,776.0,43.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,30.0,646.0,646.0,0.0,0.0,0.0,623.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,70.0,1728.0,0.0,267.0,0.0,0.0,1.0,234.0,1066.0,427.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,31.0,472.0,0.0,218.0,0.0,0.0,1.0,198.0,253.0,20.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,18.0,278.0,278.0,0.0,0.0,0.0,272.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,54.0,736.0,0.0,166.0,0.0,0.0,0.0,145.0,425.0,166.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,32.0,646.0,0.0,367.0,0.0,0.0,1.0,345.0,281.0,19.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,41.0,741.0,0.0,347.0,0.0,0.0,0.0,319.0,396.0,26.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,50.0,931.0,0.0,214.0,0.0,0.0,0.0,198.0,529.0,204.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,30.0,539.0,539.0,0.0,0.0,0.0,511.0,28.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,40.0,942.0,0.0,0.0,0.0,0.0,0.0,5.0,726.0,211.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,58.0,1245.0,0.0,402.0,0.0,0.0,1.0,354.0,600.0,290.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,47.0,912.0,912.0,0.0,0.0,0.0,877.0,35.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,24.0,420.0,420.0,0.0,0.0,0.0,400.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,25.0,428.0,0.0,359.0,0.0,0.0,0.0,344.0,81.0,3.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,63.0,1519.0,0.0,440.0,0.0,0.0,2.0,411.0,962.0,144.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,48.0,930.0,930.0,0.0,0.0,0.0,884.0,46.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,79.0,2650.0,0.0,962.0,0.0,0.0,2.0,901.0,1479.0,268.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,22.0,468.0,468.0,0.0,0.0,0.0,444.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,19.0,268.0,0.0,192.0,0.0,0.0,1.0,179.0,82.0,6.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,24.0,429.0,429.0,0.0,0.0,0.0,413.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,41.0,678.0,0.0,291.0,0.0,0.0,0.0,253.0,387.0,38.0,0.0,1.0,1.0,0.0,1.0,2023
São Paulo,2,33.0,870.0,0.0,382.0,0.0,0.0,1.0,361.0,466.0,42.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,26.0,654.0,654.0,0.0,0.0,0.0,624.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2023
São Paulo,2,30.0,545.0,303.0,242.0,0.0,0.0,295.0,229.0,21.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,28.0,547.0,547.0,0.0,0.0,0.0,525.0,21.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,64.0,1499.0,0.0,267.0,0.0,0.0,0.0,253.0,1091.0,155.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,43.0,1102.0,0.0,534.0,0.0,0.0,1.0,504.0,555.0,42.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,59.0,1353.0,0.0,343.0,0.0,0.0,0.0,313.0,664.0,376.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,38.0,188.0,0.0,162.0,0.0,0.0,0.0,131.0,54.0,3.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,24.0,441.0,0.0,308.0,0.0,0.0,3.0,299.0,137.0,2.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,31.0,749.0,749.0,0.0,0.0,0.0,718.0,31.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,36.0,617.0,617.0,0.0,0.0,0.0,592.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,25.0,468.0,468.0,0.0,0.0,0.0,445.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,77.0,1716.0,0.0,520.0,0.0,0.0,1.0,481.0,1000.0,234.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,25.0,409.0,0.0,265.0,0.0,0.0,0.0,253.0,146.0,10.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,19.0,335.0,335.0,0.0,0.0,0.0,314.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2023
São Paulo,2,77.0,1712.0,0.0,0.0,0.0,0.0,0.0,23.0,1227.0,462.0,1.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,33.0,457.0,0.0,269.0,0.0,0.0,1.0,246.0,199.0,11.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,37.0,816.0,816.0,0.0,0.0,0.0,793.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,22.0,486.0,486.0,0.0,0.0,0.0,465.0,21.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,41.0,750.0,0.0,294.0,0.0,0.0,0.0,273.0,439.0,38.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,55.0,1448.0,0.0,402.0,0.0,0.0,2.0,360.0,762.0,324.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,33.0,758.0,758.0,0.0,0.0,0.0,720.0,38.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,56.0,1180.0,0.0,645.0,0.0,0.0,4.0,579.0,558.0,39.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,32.0,503.0,503.0,0.0,0.0,0.0,477.0,26.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,17.0,321.0,0.0,321.0,0.0,0.0,1.0,307.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,25.0,452.0,0.0,297.0,0.0,0.0,1.0,282.0,164.0,5.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,28.0,593.0,593.0,0.0,0.0,0.0,560.0,33.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,67.0,1673.0,0.0,537.0,0.0,0.0,1.0,498.0,828.0,346.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,24.0,471.0,471.0,0.0,0.0,0.0,449.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,29.0,445.0,0.0,318.0,0.0,0.0,0.0,290.0,145.0,10.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,21.0,381.0,381.0,0.0,0.0,0.0,373.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,17.0,305.0,305.0,0.0,0.0,0.0,293.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,15.0,260.0,0.0,260.0,0.0,0.0,4.0,247.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,28.0,534.0,0.0,313.0,0.0,0.0,2.0,308.0,213.0,11.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,59.0,1230.0,0.0,614.0,0.0,0.0,2.0,565.0,605.0,58.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,38.0,719.0,425.0,294.0,0.0,0.0,392.0,297.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,58.0,1013.0,499.0,340.0,0.0,0.0,478.0,325.0,200.0,10.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,34.0,854.0,854.0,0.0,0.0,0.0,815.0,39.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,25.0,370.0,0.0,230.0,0.0,0.0,3.0,206.0,148.0,13.0,0.0,1.0,1.0,1.0,1.0,2023
